"";"species";"decimalLongitude";"decimalLatitude";"eventDate";"datasetKey";"Abundance"
"1";"Aspatha gularis";-89,289604;14,459657;2016-07-10 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";1
"2";"Aspatha gularis";-89,13892;14,399068;2017-10-23 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";1
"3";"Aspatha gularis";-89,1375;14,406359;2017-10-23 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";2
"4";"Aspatha gularis";-89,12899;14,38306;1942-03-12 00:00:00;"e3b959d6-fcbe-4a28-a166-e4a807c340a0";2
"5";"Aspatha gularis";-89,12899;14,38306;1942-03-14 00:00:00;"e3b959d6-fcbe-4a28-a166-e4a807c340a0";1
"6";"Aspatha gularis";-89,12899;14,38306;1942-03-19 00:00:00;"e3b959d6-fcbe-4a28-a166-e4a807c340a0";2
"7";"Aspatha gularis";-89,127431;14,376414;2021-06-03 11:39:00;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";NA
"8";"Aspatha gularis";-89,127395;14,378247;2021-03-19 05:40:00;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";NA
"9";"Aspatha gularis";-89,12689;14,382039;2017-07-19 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"10";"Aspatha gularis";-89,125389;14,380317;2021-03-19 06:43:00;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";NA
"11";"Aspatha gularis";-89,123308;14,358474;2018-02-24 12:55:00;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";NA
"12";"Aspatha gularis";-89,11895;14,35225;2014-07-30 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";NA
"13";"Aspatha gularis";-89,11895;14,35225;2014-08-09 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";NA
"14";"Aspatha gularis";-89,11895;14,35225;2014-09-14 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";NA
"15";"Aspatha gularis";-89,1168;14,374825;2011-08-21 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";5
"16";"Aspatha gularis";-89,114742;14,343852;2017-07-09 08:04:00;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";NA
"17";"Aspatha gularis";-89,106735;14,381393;2016-05-09 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"18";"Aspatha gularis";-89,106735;14,381393;2016-05-10 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"19";"Aspatha gularis";-89,106735;14,381393;2016-05-11 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"20";"Aspatha gularis";-89,106735;14,381393;2016-05-12 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"21";"Aspatha gularis";-89,083333;14,4;1936-06-30 00:00:00;"905589dd-1f8f-4aee-95e6-5672466e348d";1
"22";"Aspatha gularis";-89,083333;14,416667;1936-06-04 00:00:00;"905589dd-1f8f-4aee-95e6-5672466e348d";1
"23";"Aspatha gularis";-89,07054;14,462305;2018-06-07 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";3
"24";"Aspatha gularis";-89,07054;14,462305;2018-08-14 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";1
"25";"Aspatha gularis";-89,07054;14,462305;2018-10-12 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";2
"26";"Aspatha gularis";-89,07054;14,462305;2019-02-10 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";1
"27";"Aspatha gularis";-89,07054;14,462305;2019-07-18 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";1
"28";"Aspatha gularis";-88,833176;14,407083;2016-10-14 00:00:00;"4fa7b334-ce0d-4e88-aaae-2e0c138d049e";NA
